id,company_name,amount,type,date,notes,currency,created_by,created_at,updated_by,updated_at,amount_original,currency_original,exchange_rate_to_usd
4,العمران,5000.0,incoming,2026-06-06,,USD,2,2026-06-07T23:31:13.531446,2,2026-06-07T23:33:33.464056,5000.0,USD,1.0
5,سمر,2000.0,outgoing,2026-06-06,,USD,2,2026-06-07T23:34:28.803813,2,2026-06-07T23:34:28.803813,2000.0,USD,1.0
